author_id,author_name,author_url
129,은모든,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%80%eb%aa%a8%eb%93%a0@6285124&BranchType=1
130,임고을,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%84%ea%b3%a0%ec%9d%84@3189704&BranchType=1
131,박서련,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ec%84%9c%eb%a0%a8@6244425&BranchType=1
132,김인숙,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9d%b8%ec%88%99@6785&BranchType=1
133,김의경,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9d%98%ea%b2%bd@3115378&BranchType=1
134,김희선,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%9d%ac%ec%84%a0@2672270&BranchType=1
135,안보윤,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%95%88%eb%b3%b4%ec%9c%a4@202130&BranchType=1
136,김채원,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%b1%84%ec%9b%90@8774969&BranchType=1
137,김사과,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%82%ac%ea%b3%bc@311782&BranchType=1
138,백온유,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%b1%ec%98%a8%ec%9c%a0@5716642&BranchType=1
139,추미애,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b6%94%eb%af%b8%ec%95%a0@881456&BranchType=1
140,제인,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%9c%ec%9d%b8@10051440&BranchType=1
141,이경란,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ea%b2%bd%eb%9e%80@8628316&BranchType=1
142,최영원,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b5%9c%ec%98%81%ec%9b%90@9835913&BranchType=1
143,손현주,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%86%90%ed%98%84%ec%a3%bc@1752085&BranchType=1
144,이신주,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%8b%a0%ec%a3%bc@8959181&BranchType=1
145,권지영(봄샘),https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b6%8c%ec%a7%80%ec%98%81(%eb%b4%84%ec%83%98)@8560865&BranchType=1
146,김영탁,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%98%81%ed%83%81@916056&BranchType=1
147,강정아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b0%95%ec%a0%95%ec%95%84@9936857&BranchType=1
148,김은숙,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9d%80%ec%88%99@1733733&BranchType=1
149,김빵,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%b9%b5@6539766&BranchType=1
150,김수연,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%88%98%ec%97%b0@5495440&BranchType=1
