isbn,title,publishDate,price,pageCount,size,weight,label,author_name_tf,publisher_name_tf
9788937473364,고독사 워크숍,1060,15000,388,24064,426,1,2,64
9788937473371,가장 나쁜 일,1018,15000,436,24064,470,1,2,64
9788937473401,급류,858,14000,300,24064,394,1,3,64
9788937473814,달력 뒤에 쓴 유서,819,14000,164,24064,258,1,1,64
9788937473838,중급 한국어,787,14000,268,23876,362,1,5,64
9788937473852,치치새가 사는 숲,556,14000,184,23876,258,1,3,64
9788937473876,나의 천사,395,15000,448,24064,627,1,4,64
9788937473890,아찰란 피크닉,248,15000,372,23876,411,1,2,64
9788937473913,맨투맨,185,15000,224,23876,318,1,1,64
9788939206489,아주 오래된 농담,5206,11000,376,24064,376,1,12,12
9788949123141,가시고백,4831,13000,292,26460,390,1,7,2
9788950971199,실연당한 사람들의 일곱 시 조찬모임,2833,15000,336,24375,464,1,2,5
9788950986735,심장에 수놓은 이야기,1867,10000,152,18150,164,1,13,5
9788950995454,곰탕 1,1446,17000,324,24064,324,1,2,5
9788950995461,곰탕 2,1446,17000,368,24064,368,1,2,5
9788952736253,유괴의 날,2112,17000,420,26390,490,1,10,11
9788952738684,뜻밖의 계절,2075,12800,280,24064,370,1,1,11
9788952766045,경성 탐정 이상,4690,17000,536,24064,545,1,4,11
9788954442145,살인자의 쇼핑몰,1900,13800,176,22320,243,1,5,32
9788954447546,일주일,1335,14000,160,21228,197,1,17,32
9788954448444,방어가 제철,970,14000,144,21228,183,1,1,32
9788954448574,모든 것들의 세계,895,12000,144,21228,197,1,9,32
9788954449298,살인자의 쇼핑몰 2,640,14800,204,22320,240,1,5,32
9788954449496,초록은 어디에나,600,15000,164,21228,197,1,3,32
9788954449670,꿰맨 눈의 마을,500,13000,192,21228,134,1,13,32
9788954449946,밤의 반만이라도,458,17000,328,26600,381,1,2,32
9788954450195,살인자의 쇼핑몰 1~2 세트 - 전2권 (오컬트 스핀오프 수록),471,28600,376,22320,483,1,5,32
9788954450225,"3월 2일, 시작의 날",405,15000,208,28700,303,1,3,32
9788954450416,악마의 비밀 레시피,363,15000,216,28700,314,1,1,32
9788954450508,우리가 안도하는 사이,353,15000,208,23808,251,1,3,32
9788954450546,알려지지 않은 밤과 하루,335,18000,264,22560,339,1,9,32
9788954450669,창문을 통과하는 빛과 같이,313,13000,132,21228,172,1,2,32
9788954450713,"안녕, 나를 마중하러 왔어",299,15000,208,28700,208,1,1,32
9788954450898,한 여름 방학의 꿈,271,15000,212,28700,307,1,1,32
9788954451406,한 개의 머리가 있는 방,241,13000,196,21228,225,1,7,32
9788954451505,말은 안 되지만,215,13000,136,21228,176,1,10,32
9788954451819,부끄러움의 시대,179,15000,224,23808,238,1,4,32
9788954601382,강산무진,6951,14000,381,26520,428,1,9,192
