isbn,title,publishDate,author_id,author_name,publisher_id,publisher_name,price,pageCount,size,weight,rating,shortReviewCount,fullReviewCount,records,label
9788958942658 ,곤륜산 5,2006-05-27,754,소소,262,마루&마야,8000,327,33896,458,0,,,,0
9788958943280 ,낚시 마스터 2,2006-09-28,768,조기주,262,마루&마야,8000,324,33896,454,0,,,,0
9788958943488 ,바드 마스터 1,2006-10-02,769,이주성,262,마루&마야,8000,336,33896,470,0,,,,0
9788958944560 ,바드 마스터 6,2007-03-09,769,이주성,262,마루&마야,8000,336,33896,470,0,,,,0
9788959130337 ,태양의 후예 2,2016-07-07,770,손현경,263,예담,12000,264,30870,371,9.3,2,1,,0
9788959133987 ,절망의 구,2009-08-13,171,김이환,263,예담,11800,424,29400,551,8.6,17,45,,0
9788959135370 ,죽은 왕녀를 위한 파반느 (스페셜 에디션),2017-07-31,372,박민규,263,예담,12800,420,27000,598,7.9,6,10,,0
9788959136230 ,D등급 그녀,2011-04-30,774,진소라,263,예담,12000,364,27811,473,7.9,7,20,,0
9788959136322 ,샴페인,2011-07-10,606,조현경,263,예담,11000,276,31175,359,8.2,4,26,,0
9788959136933 ,30년,2012-07-16,775,박성신,263,예담,11000,272,30450,350,7.4,2,8,,0
9788959138630 ,비밀의 문 1,2014-12-19,654,김영은,263,예담,13000,353,31080,575,7.5,,4,,0
9788959138883 ,비밀의 문 2,2015-02-23,654,김영은,263,예담,14000,484,31080,629,0,,,,0
9788959139057 ,9일의 묘,2015-03-30,467,전민식,263,예담,12000,235,27400,306,8,1,17,,0
9788959139781 ,잠옷을 입으렴,2015-11-10,76,이도우,23,위즈덤하우스,13800,444,29400,570,9.3,4,22,,0
9788959243457 ,흉터와 무늬,2005-05-09,570,최영미,176,랜덤하우스코리아,9800,350,33896,490,7.1,1,7,,0
9788959255283 ,영혼의 그림자,2009-01-28,778,라대곤,264,신아출판사(SINA),9000,228,24064,228,0,,,,0
9788959256914 ,가시연꽃,2010-05-07,779,이은정,264,신아출판사(SINA),10000,311,33896,435,0,,,,0
9788959320059 ,디오첼 Diochell 1,2005-04-11,780,바실리안,183,환상미디어,8000,285,33896,399,0,,,,0
9788959321346 ,배리와 딱지의 이야기 2,2005-07-28,782,피리나,183,환상미디어,9000,287,33896,402,0,,,,0
9788959321391 ,"그녀의 남자친구, 그리고 백 번째 남자",2005-08-12,509,정아미,183,환상미디어,9000,399,33896,559,0,,,,0
9788959321629 ,사랑을 빌려드립니다 -상,2005-09-07,781,정(情),183,환상미디어,9000,400,33896,560,0,,,,0
